station,catchment-no,district,latitude,longitude
todabhim-dausa,406.0,dausa,"260 55"" N","760 49"" E"
mahuwa-dausa,406.0,dausa,"270 03"" N","760 55"" E"
karauli-dausa,406.0,dausa,"260 30"" N","760 01"" E"
sapotara-dausa,406.0,dausa,"260 17"" N","760 45"" E"
bamanwas-sawaimadhopur,406.0,sawaimadhopur,"260 30"" N","760 35"" E"
nadoti-dausa,406.0,dausa,"260 43"" N","760 44"" E"
bonli-sawaimadhopur,406.0,sawaimadhopur,"260 20"" N","760 14"" E"
moransagar *-sawaimadhopur,406.0,sawaimadhopur,"260 41"" N","760 33"" E"
dhilbundh *-sawaimadhopur,405.0,sawaimadhopur,"260 12"" N","760 08"" E"
mansarowar *-sawaimadhopur,406.0,sawaimadhopur,"250 56"" N","760 27"" E"
dubbi-banas *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kalisil *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
juggarbund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
sawai madhopur-sawaimadhopur,405.0,sawaimadhopur,"250 59"" N","760 22"" E"
khandar-sawaimadhopur,406.0,sawaimadhopur,"260 01"" N","760 37"" E"
gangapur city-sawaimadhopur,406.0,sawaimadhopur,"260 29"" N","760 44"" E"
hindaun-dausa,406.0,dausa,"260 43"" N","770 01"" E"
todabhim-dausa,406.0,dausa,"260 55"" N","760 49"" E"
mahuwa-dausa,406.0,dausa,"270 03"" N","760 55"" E"
karauli-dausa,406.0,dausa,"260 30"" N","760 01"" E"
sapotara-dausa,406.0,dausa,"260 17"" N","760 45"" E"
bamanwas-sawaimadhopur,406.0,sawaimadhopur,"260 30"" N","760 35"" E"
nadoti-dausa,406.0,dausa,"260 43"" N","760 44"" E"
bonli-sawaimadhopur,406.0,sawaimadhopur,"260 20"" N","760 14"" E"
juggarbund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
mansarowar *-sawaimadhopur,406.0,sawaimadhopur,"250 56"" N","760 27"" E"
moransagar *-sawaimadhopur,406.0,sawaimadhopur,"260 41"" N","760 33"" E"
dhilbundh *-sawaimadhopur,405.0,sawaimadhopur,"260 12"" N","760 08"" E"
dubbi-banas *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kalisil *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
moral bund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kela devi *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
sawai madhopur-sawaimadhopur,405.0,sawaimadhopur,"250 59"" N","760 22"" E"
khandar-sawaimadhopur,406.0,sawaimadhopur,"260 01"" N","760 37"" E"
gangapur city-sawaimadhopur,406.0,sawaimadhopur,"260 29"" N","760 44"" E"
hindaun-dausa,406.0,dausa,"260 43"" N","770 01"" E"
todabhim-dausa,406.0,dausa,"260 55"" N","760 49"" E"
mahuwa-dausa,406.0,dausa,"270 03"" N","760 55"" E"
karauli-dausa,406.0,dausa,"260 30"" N","760 01"" E"
sapotara-dausa,406.0,dausa,"260 17"" N","760 45"" E"
bamanwas-sawaimadhopur,406.0,sawaimadhopur,"260 30"" N","760 35"" E"
nadoti-dausa,406.0,dausa,"260 43"" N","760 44"" E"
bonli-sawaimadhopur,406.0,sawaimadhopur,"260 20"" N","760 14"" E"
juggarbund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
mansarowar *-sawaimadhopur,406.0,sawaimadhopur,"250 56"" N","760 27"" E"
moransagar *-sawaimadhopur,406.0,sawaimadhopur,"260 41"" N","760 33"" E"
dhilbundh *-sawaimadhopur,405.0,sawaimadhopur,"260 12"" N","760 08"" E"
dubbi-banas *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kalisil *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
moral bund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kela devi *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
sawai madhopur-sawaimadhopur,405.0,sawaimadhopur,"250 59"" N","760 22"" E"
khandar-sawaimadhopur,406.0,sawaimadhopur,"260 01"" N","760 37"" E"
gangapur city-sawaimadhopur,406.0,sawaimadhopur,"260 29"" N","760 44"" E"
hindaun-dausa,406.0,dausa,"260 43"" N","770 01"" E"
todabhim-dausa,406.0,dausa,"260 55"" N","760 49"" E"
mahuwa-dausa,406.0,dausa,"270 03"" N","760 55"" E"
karauli-dausa,406.0,dausa,"260 30"" N","760 01"" E"
sapotara-dausa,406.0,dausa,"260 17"" N","760 45"" E"
bamanwas-sawaimadhopur,406.0,sawaimadhopur,"260 30"" N","760 35"" E"
nadoti-dausa,406.0,dausa,"260 43"" N","760 44"" E"
bonli-sawaimadhopur,406.0,sawaimadhopur,"260 20"" N","760 14"" E"
juggarbund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
mansarowar *-sawaimadhopur,406.0,sawaimadhopur,"250 56"" N","760 27"" E"
moransagar *-sawaimadhopur,406.0,sawaimadhopur,"260 41"" N","760 33"" E"
dhilbundh *-sawaimadhopur,405.0,sawaimadhopur,"260 12"" N","760 08"" E"
dubbi-banas *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kalisil *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
moral bund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kela devi *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
sawai madhopur-sawaimadhopur,405.0,sawaimadhopur,"250 59"" N","760 22"" E"
khandar-sawaimadhopur,406.0,sawaimadhopur,"260 01"" N","760 37"" E"
gangapur city-sawaimadhopur,406.0,sawaimadhopur,"260 29"" N","760 44"" E"
hindaun-dausa,406.0,dausa,"260 43"" N","770 01"" E"
todabhim-dausa,406.0,dausa,"260 55"" N","760 49"" E"
mahuwa-dausa,406.0,dausa,"270 03"" N","760 55"" E"
karauli-dausa,406.0,dausa,"260 30"" N","760 01"" E"
sapotara-dausa,406.0,dausa,"260 17"" N","760 45"" E"
bamanwas-sawaimadhopur,406.0,sawaimadhopur,"260 30"" N","760 35"" E"
nadoti-dausa,406.0,dausa,"260 43"" N","760 44"" E"
bonli-sawaimadhopur,406.0,sawaimadhopur,"260 20"" N","760 14"" E"
juggarbund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
mansarowar *-sawaimadhopur,406.0,sawaimadhopur,"250 56"" N","760 27"" E"
moransagar *-sawaimadhopur,406.0,sawaimadhopur,"260 41"" N","760 33"" E"
dhilbundh *-sawaimadhopur,405.0,sawaimadhopur,"260 12"" N","760 08"" E"
dubbi-banas *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kalisil *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
moral bund *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
kela devi *-dausa,406.0,dausa,"270 03"" N","760 55"" E"
sawai madhopur-sawai madho,405.0,sawai madho,"250 59"" N","760 22"" E"
khandar-sawai madho,406.0,sawai madho,"260 01"" N","760 37"" E"
gangapur city-sawai madho,406.0,sawai madho,"260 29"" N","760 44"" E"
hindon-sawai madho,406.0,sawai madho,"260 43"" N","770 01"" E"
todabhim-sawai madho,406.0,sawai madho,"260 55"" N","760 49"" E"
mahuwa-dausa,406.0,dausa,"270 03"" N","760 55"" E"
karoli-dausa,406.0,dausa,"260 30"" N","760 01"" E"
sapotara-dausa,406.0,dausa,"260 17"" N","760 45"" E"
bamanwas-sawaimadhopur,406.0,sawaimadhopur,"260 30"" N","760 35"" E"
nadoti-sawaimadhopur,406.0,sawaimadhopur,"260 43"" N","760 44"" E"
bonli-sawaimadhopur,406.0,sawaimadhopur,"260 20"" N","760 14"" E"
jaggar bund *-sawaimadhopur,,sawaimadhopur,,
mansarowar *-sawaimadhopur,406.0,sawaimadhopur,"250 56"" N","760 27"" E"
moransagar *-sawaimadhopur,406.0,sawaimadhopur,"260 41"" N","760 33"" E"
dheel bund *-sawaimadhopur,405.0,sawaimadhopur,"260 12"" N","760 08"" E"
dubbi banas *-sawaimadhopur,405.0,sawaimadhopur,,
moral bund *-sawaimadhopur,,sawaimadhopur,,
kela devi *-sawaimadhopur,405.0,sawaimadhopur,"260 20"" N","760 55"" E"
amber-jaipur,406.0,jaipur,"260 59"" N","750 52"" E"
bairath-jaipur,403.0,jaipur,"270 27"" N","760 11"" E"
bassi-jaipur,406.0,jaipur,"260 50"" N","760 04"" E"
chaksu-jaipur,406.0,jaipur,"260 36"" N","750 57"" E"
chomu-jaipur,600.0,jaipur,"270 10"" N","750 43"" E"
dudu ( mozmabad )-jaipur,406.0,jaipur,"260 41"" N","750 14"" E"
jaipur-jaipur,406.0,jaipur,"260 55"" N","760 50"" E"
jamwa ramgarh-jaipur,403.0,jaipur,"270 04"" N","760 02"" E"
kotputli-jaipur,403.0,jaipur,"270 43"" N","760 13"" E"
naraina-jaipur,406.0,jaipur,"260 48"" N","750 13"" E"
paota-jaipur,403.0,jaipur,"260 52"" N","760 56"" E"
phagi-jaipur,406.0,jaipur,"260 35"" N","750 34"" E"
phulera-jaipur,406.0,jaipur,"260 45"" N","750 14"" E"
sambhar-jaipur,600.0,jaipur,"260 55"" N","750 11"" E"
sanganer-jaipur,406.0,jaipur,"260 48"" N","750 47"" E"
shahpura-jaipur,,jaipur,,
kanota*-jaipur,406.0,jaipur,"260 53"" N","750 57"" E"
jaipur*-jaipur,406.0,jaipur,"260 55"" N","760 50"" E"
ramgarh dam*-jaipur,406.0,jaipur,"270 02"" N","760 02"" E"
chapparwara*-jaipur,406.0,jaipur,"260 37"" N","750 15"" E"
taskola*-jaipur,406.0,jaipur,,
